Sample,Actin,AR
MYCN-M2-2-F,21.457,79.023
MYCN-M2-2-E (1/2),49.996,71.113
MYCN-M1-2-F,54.746,70.423
MYCN-M1-2-E,54.734,70.1
FUCRW-M2-2-F (1/2),21.305,68.613
FUCRW-M2-2-E (1/2),57.464,72.215
FUCRW-M1-1-F,37.145,67.289
FUCRW-M1-1-E (1/2),47.265,71.311
Blank,6.459,60.536
