Gel Loading Master Mixes (4.5x microliters)


Sample,Protein,Reducing Agent,Sample Buffer,DI Water
FUCRW-M1-1-E (1/2),59.99143187265269,14.84571910056897,37.11429775142243,36.50574228104562
FUCRW-M1-1-F,61.67523317438965,14.84571910056897,37.11429775142243,34.82194097930866
FUCRW-M2-2-E (1/2),46.28177089745196,14.84571910056897,37.11429775142243,50.21540325624635
FUCRW-M2-2-F (1/2),96.49717415369831,14.84571910056897,37.11429775142243,0.0
MYCN-M1-2-E,46.518349246630606,14.84571910056897,37.11429775142243,49.978824907067704
MYCN-M1-2-F,43.88558327318222,14.84571910056897,37.11429775142243,52.61159088051609
MYCN-M2-2-E (1/2),45.79401072705019,14.84571910056897,37.11429775142243,50.70316342664812
MYCN-M2-2-F,84.12628644614215,14.84571910056897,37.11429775142243,12.370887707556165
IDH1-M1-1-E (1/2),38.26855804494864,14.84571910056897,37.11429775142243,58.22861610874967
IDH1-M1-1-F (1/2),71.89144001591556,14.84571910056897,37.11429775142243,24.605734137782747
IDH1-M1-2-E (1/2),44.38151395762192,14.84571910056897,37.11429775142243,52.11566019607639
IDH1-M1-2-F (1/2),41.45710074520264,14.84571910056897,37.11429775142243,55.04007340849567
IDH1-M2-1-E,61.96457481555129,14.84571910056897,37.11429775142243,34.53259933814702


Total Protein:,10.0
Total Volume:,32.99048689015327


Protein Concentration (microgram/mL):
1352.754823296746,1712.2152585728336,1840.9772008472466,1772.7640216108175,1921.8366875049928,2216.149634912901,2211.9342029379955,2132.990793504458,2559.514897342345,1834.845691648133,1967.823069729652,2467.9251843196903,1045.4124020748445,


Rsquared:,0.9597987938116875
