Gel Loading Master Mixes (4.5x microliters)


Sample,Protein,Reducing Agent,Sample Buffer,DI Water
FUCRW-M1-1-E (1/2),33.26545152530468,6.6223405321541975,16.555851330385494,9.779761933697607
FUCRW-M1-1-F,26.281742190236304,6.6223405321541975,16.555851330385494,16.76347126876598
FUCRW-M2-2-E (1/2),24.44354008256609,6.6223405321541975,16.555851330385494,18.601673376436192
FUCRW-M2-2-F (1/2),25.384089168907472,6.6223405321541975,16.555851330385494,17.66112429009481
MYCN-M1-2-E,23.41510092536575,6.6223405321541975,16.555851330385494,19.630112533636535
MYCN-M1-2-F,20.305488082156774,6.6223405321541975,16.555851330385494,22.73972537684551
MYCN-M2-2-E (1/2),20.344185618283255,6.6223405321541975,16.555851330385494,22.70102784071903
MYCN-M2-2-F,21.097137473371824,6.6223405321541975,16.555851330385494,21.94807598563046
IDH1-M1-1-E (1/2),17.581456566916426,6.6223405321541975,16.555851330385494,25.463756892085858
IDH1-M1-1-F (1/2),24.525223131749662,6.6223405321541975,16.555851330385494,18.51999032725262
IDH1-M1-2-E (1/2),22.867909565763092,6.6223405321541975,16.555851330385494,20.17730389323919
IDH1-M1-2-F (1/2),18.233940107226033,6.6223405321541975,16.555851330385494,24.81127335177625
IDH1-M2-1-E,43.045213459002284,6.6223405321541975,16.555851330385494,0.0
IDH1-M2-1-F,24.06779188053682,6.6223405321541975,16.555851330385494,18.977421578465464
MYCN;IDH1-M1-1-E (1/2),26.99467673723597,6.6223405321541975,16.555851330385494,16.050536721766314
MYCN;IDH1-M1-1-F (1/2),27.786764997395025,6.6223405321541975,16.555851330385494,15.258448461607259
MYCN;IDH1-M1-2-E (1/5),29.796226372824105,6.6223405321541975,16.555851330385494,13.248987086178179
MYCN;IDH1-M1-2-F (1/2),23.847836975927223,6.6223405321541975,16.555851330385494,19.19737648307506
MYCN;IDH1-M2-1-E,22.33295976100508,6.6223405321541975,16.555851330385494,20.712253697997205
MYCN;IDH1-M2-1-F,18.958119291748478,6.6223405321541975,16.555851330385494,24.087094167253806
MYCN;IDH1-M2-2-E (1/2),24.73184008776822,6.6223405321541975,16.555851330385494,18.313373371234064
MYCN;IDH1-M2-2-F (1/5),23.901231810415183,6.6223405321541975,16.555851330385494,19.1439816485871


Total Protein:,10.0
Total Volume:,14.716312293675994


Protein Concentration (microgram/mL):
1352.754823296746,1712.2152585728336,1840.9772008472466,1772.7640216108175,1921.8366875049928,2216.149634912901,2211.9342029379955,2132.990793504458,2559.514897342345,1834.845691648133,1967.823069729652,2467.9251843196903,1045.4124020748445,1869.718677283007,1666.9953279317403,1619.4760348755494,1510.2583608051327,1886.963586904106,2014.9590775949532,2373.653172421288,1819.5168592512425,1882.7481510970003,


Rsquared:,0.9597987938116875
