Gel Loading Master Mixes (2.5x microliters)


Sample,Protein,Reducing Agent,Sample Buffer,DI Water
FUCRW-M1-1-E (1/2),18.480806402947042,3.6790780734189985,9.197695183547497,5.433201074276447
FUCRW-M1-1-F,14.600967883464612,3.6790780734189985,9.197695183547497,9.313039593758877
FUCRW-M2-2-E (1/2),13.579744490314496,3.6790780734189985,9.197695183547497,10.334262986908993
FUCRW-M2-2-F (1/2),14.10227176050415,3.6790780734189985,9.197695183547497,9.811735716719339
MYCN-M1-2-E,13.00838940298097,3.6790780734189985,9.197695183547497,10.905618074242518
MYCN-M1-2-F,11.28082671230932,3.6790780734189985,9.197695183547497,12.633180764914169
MYCN-M2-2-E (1/2),11.302325343490697,3.6790780734189985,9.197695183547497,12.611682133732792
MYCN-M2-2-F,11.720631929651013,3.6790780734189985,9.197695183547497,12.193375547572476
IDH1-M1-1-E (1/2),9.767475870509125,3.6790780734189985,9.197695183547497,14.146531606714364
IDH1-M1-1-F (1/2),13.625123962083146,3.6790780734189985,9.197695183547497,10.288883515140343
IDH1-M1-2-E (1/2),12.70439420320172,3.6790780734189985,9.197695183547497,11.20961327402177
IDH1-M1-2-F (1/2),10.129966726236685,3.6790780734189985,9.197695183547497,13.784040750986804
IDH1-M2-1-E,23.91400747722349,3.6790780734189985,9.197695183547497,0.0
IDH1-M1-2-F (1/2).1,10.129966726236685,3.6790780734189985,9.197695183547497,13.784040750986804


Total Protein:,10.0
Total Volume:,14.716312293675994


Protein Concentration (microgram/mL):
1352.754823296746,1712.2152585728336,1840.9772008472466,1772.7640216108175,1921.8366875049928,2216.149634912901,2211.9342029379955,2132.990793504458,2559.514897342345,1834.845691648133,1967.823069729652,2467.9251843196903,1045.4124020748445,2467.9251843196903,


Rsquared:,0.9597987938116875
