Gel Loading Master Mixes (1.25x microliters)


Sample,Protein,Reducing Agent,Sample Buffer,DI Water
FUCRW-M1-1-E (1/2),9.240403201473521,1.8395390367094993,4.598847591773748,2.7166005371382234
FUCRW-M1-1-F,7.300483941732306,1.8395390367094993,4.598847591773748,4.656519796879438
FUCRW-M2-2-E (1/2),6.789872245157248,1.8395390367094993,4.598847591773748,5.167131493454496
FUCRW-M2-2-F (1/2),7.051135880252075,1.8395390367094993,4.598847591773748,4.905867858359669
MYCN-M1-2-E,6.504194701490485,1.8395390367094993,4.598847591773748,5.452809037121259
MYCN-M1-2-F,5.64041335615466,1.8395390367094993,4.598847591773748,6.316590382457084
MYCN-M2-2-E (1/2),5.6511626717453485,1.8395390367094993,4.598847591773748,6.305841066866396
MYCN-M2-2-F,5.8603159648255065,1.8395390367094993,4.598847591773748,6.096687773786238
IDH1-M1-1-E (1/2),4.883737935254563,1.8395390367094993,4.598847591773748,7.073265803357182
IDH1-M1-1-F (1/2),6.812561981041573,1.8395390367094993,4.598847591773748,5.1444417575701715
IDH1-M1-2-E (1/2),6.35219710160086,1.8395390367094993,4.598847591773748,5.604806637010885
IDH1-M1-2-F (1/2),5.064983363118342,1.8395390367094993,4.598847591773748,6.892020375493402
IDH1-M2-1-E,11.957003738611744,1.8395390367094993,4.598847591773748,0.0
IDH1-M2-1-F,6.685497744593562,1.8395390367094993,4.598847591773748,5.271505994018183
MYCN;IDH1-M1-1-E (1/2),7.498521315898881,1.8395390367094993,4.598847591773748,4.458482422712864
MYCN;IDH1-M1-1-F (1/2),7.718545832609729,1.8395390367094993,4.598847591773748,4.238457906002015
MYCN;IDH1-M1-2-E (1/5),8.276729548006696,1.8395390367094993,4.598847591773748,3.680274190605049
MYCN;IDH1-M1-2-F (1/2),6.624399159979784,1.8395390367094993,4.598847591773748,5.332604578631961
MYCN;IDH1-M2-1-E,6.203599933612521,1.8395390367094993,4.598847591773748,5.753403804999223
MYCN;IDH1-M2-1-F,5.26614424770791,1.8395390367094993,4.598847591773748,6.690859490903835
MYCN;IDH1-M2-2-E (1/2),6.869955579935616,1.8395390367094993,4.598847591773748,5.0870481586761285
MYCN;IDH1-M2-2-F (1/5),6.6392310584486625,1.8395390367094993,4.598847591773748,5.317772680163082


Total Protein:,10.0
Total Volume:,14.716312293675994


Protein Concentration (microgram/mL):
1352.754823296746,1712.2152585728336,1840.9772008472466,1772.7640216108175,1921.8366875049928,2216.149634912901,2211.9342029379955,2132.990793504458,2559.514897342345,1834.845691648133,1967.823069729652,2467.9251843196903,1045.4124020748445,1869.718677283007,1666.9953279317403,1619.4760348755494,1510.2583608051327,1886.963586904106,2014.9590775949532,2373.653172421288,1819.5168592512425,1882.7481510970003,


Rsquared:,0.9597987938116875
